 
Wed Jan 6 13:41:24 2016 ... X:198.61 Y:35.42
Wed Jan 6 13:41:25 2016 ... X:198.45 Y:34.54
Wed Jan 6 13:41:26 2016 ... X:192.51 Y:36.43
Wed Jan 6 13:41:27 2016 ... X:190.70 Y:32.25
Wed Jan 6 13:41:29 2016 ... X:194.56 Y:34.94
Wed Jan 6 13:41:30 2016 ... X:195.31 Y:38.31
Wed Jan 6 13:41:31 2016 ... X:199.20 Y:40.13
Wed Jan 6 13:41:32 2016 ... X:195.08 Y:34.64
Wed Jan 6 13:41:34 2016 ... X:197.48 Y:34.37
Wed Jan 6 13:41:35 2016 ... X:201.44 Y:32.95
Wed Jan 6 13:41:36 2016 ... X:202.46 Y:36.10
Wed Jan 6 13:41:37 2016 ... X:202.82 Y:35.10
Wed Jan 6 13:41:39 2016 ... X:202.18 Y:40.74
Wed Jan 6 13:41:40 2016 ... X:200.43 Y:41.63
Wed Jan 6 13:41:41 2016 ... X:205.84 Y:45.82
Wed Jan 6 13:41:42 2016 ... X:207.01 Y:46.90
Wed Jan 6 13:41:44 2016 ... X:204.15 Y:51.85
Wed Jan 6 13:41:45 2016 ... X:201.50 Y:51.37
Wed Jan 6 13:41:46 2016 ... X:201.15 Y:53.45
Wed Jan 6 13:41:47 2016 ... X:204.31 Y:54.21
Wed Jan 6 13:41:49 2016 ... X:201.69 Y:54.15
Wed Jan 6 13:41:50 2016 ... X:202.24 Y:61.46
Wed Jan 6 13:41:51 2016 ... X:201.88 Y:68.46
Wed Jan 6 13:41:52 2016 ... X:203.08 Y:64.18
Wed Jan 6 13:41:54 2016 ... X:199.10 Y:68.12
Wed Jan 6 13:41:55 2016 ... X:197.03 Y:69.41
Wed Jan 6 13:41:56 2016 ... X:203.05 Y:66.04
Wed Jan 6 13:41:58 2016 ... X:201.14 Y:66.34
Wed Jan 6 13:41:59 2016 ... X:204.32 Y:69.13
Wed Jan 6 13:42:00 2016 ... X:201.13 Y:60.91
Wed Jan 6 13:42:01 2016 ... X:202.46 Y:68.76
Wed Jan 6 13:42:03 2016 ... X:207.28 Y:66.29
Wed Jan 6 13:42:04 2016 ... X:210.50 Y:68.93
Wed Jan 6 13:42:05 2016 ... X:208.92 Y:63.01
Wed Jan 6 13:42:06 2016 ... X:209.37 Y:62.59
Wed Jan 6 13:42:08 2016 ... X:209.16 Y:65.04
Wed Jan 6 13:42:09 2016 ... X:205.61 Y:59.24
Wed Jan 6 13:42:10 2016 ... X:203.58 Y:56.06
